"5","osm:node:2721521944","yes","0","100","Looks like it has been redecorated","3684","1591302209","pre-designawards-testing","7062338715943211"
"6","osm:node:2248198111","yes","0","100","it looks like a central bar, the tables and architecture around gave me the impression of a gentrified neighbour","4332","1591531728","pre-designawards-testing","2348916378149559"
"8","osm:node:2456734510","yes","0","100","Looks like faux old facade\n","4119","1591874635","pre-designawards-testing","0207570499822626"
"9","osm:node:2721518885","yes","0","100","Shops like these are only for tourists","3029","1594123031","pre-designawards-testing","6111970594687998"
"10","osm:node:4501212618","yes","0","100","Fancy design studio in industrial office","15974","1594123052","pre-designawards-testing","6111970594687998"
"11","osm:node:2729939222","yes","0","100","Only for tourists","22905","1594123064","pre-designawards-testing","6111970594687998"
"12","osm:node:4216488792","yes","0","100","Tourists","2402","1594582702","pre-designawards-testing","3453577638966921"
"13","osm:node:2724038580","no","100","0","doesn\'t look gentrified to me","3625","1594988046","post202007","0456001861983967"
"14","osm:node:2724249675","yes","0","100","hipsters and tourists","6738","1595331527","post202007","7591762325112398"
"15","osm:node:1218638250","no","100","0","Shop has been around there for ages","4884","1595331549","post202007","7591762325112398"
"16","osm:node:3083675087","yes","0","100","the name of the restaurant, and the styling","4986","1595331649","post202007","7591762325112398"
"17","osm:node:2724038809","no","100","0","xenos is like blokker\n","2308","1595331677","post202007","7591762325112398"
"18","osm:node:2348236097","yes","0","100","The combination of \""banketbakkerij\"" and \""kapadokya\"" indicate the gradual mix of original and new tendencies towards gentrification.","2923","1596009548","post202007","9610879704776145"
"19","faillissementsdossier:66765897","no","100","0","This place definitely shows a tendency towards redevelopment and transformation in formerly industrial areas, but there is no indication of the original inhabitants being forced to leave the area due to higher rents and costs for living.","1989","1596009683","post202007","9610879704776145"
"20","osm:node:2743728505","no","100","0","i was hesitating about this one. decidued for not gentrified because the context indicates a newly built office area and not an existing neighbourhood.","5500","1596009776","post202007","9610879704776145"
"21","osm:node:296044190","no","100","0","not every global brand is an indication of gentrification, we ened more context here than just the facade","3488","1596009828","post202007","9610879704776145"
"22","faillissementsdossier:73361437","yes","0","100","grey paint","3782","1596739918","post202007","0986704082019438"
"23","osm:node:3112499870","yes","0","100","x","2067","1596739941","post202007","0986704082019438"
"24","osm:node:2725878862","yes","0","100","the name","3593","1596739991","post202007","0986704082019438"
"25","osm:node:2809003068","yes","0","100","the letters ","3479","1596740030","post202007","0986704082019438"
"26","osm:node:4825417024","yes","0","100","the place seems to be mismatched with the rest of the building","3149","1596740242","post202007","1102986345086666"
"27","osm:node:2722022989","no","100","0","it looks to clean","2743","1596740299","post202007","0986704082019438"
"28","faillissementsdossier:63432250","yes","22","78","turning A former office building into horeca ","2049","1596740381","post202007","0986704082019438"
"29","osm:node:4320585689","no","100","0","x","1788","1596740388","post202007","0986704082019438"
"30","osm:node:2724038644","no","86","14","x","1519","1596740433","post202007","0986704082019438"
"31","osm:node:2721522226","yes","0","100","Fancy looking Febo, not the dodgy looking style","1969","1596781761","post202007","8598572326023094"
"32","osm:node:1223236804","yes","0","100","Lack of visual signage, only through point of display","1692","1596981643","post202007","9607778854530687"
"33","osm:node:4622204544","no","100","0","Hema is toegankelijk voor iedereen ","4779","1597297404","post202007","2184387750532052"
"34","osm:node:2848746544","yes","0","100","Designer fiets","51448","1597297428","post202007","2184387750532052"
"35","osm:node:1083536032","no","100","0","Verzetsmuseum ","3430","1597297504","post202007","2184387750532052"
"36","osm:node:2729938497","yes","0","100","Rijk","2468","1597297547","post202007","2184387750532052"
"37","osm:node:1221354016","yes","0","100","its a coffee joint","1621","1597503134","post202007","0475590386253858"
"38","osm:node:1348470865","no","83","17","seems like a small independent","1629","1597503163","post202007","0475590386253858"
"39","osm:node:1174575276","yes","0","100","mistake","2194","1597503235","post202007","0475590386253858"
"40","osm:node:2507159712","no","100","0","buurtkroegje","1931","1597503254","post202007","0475590386253858"
"41","osm:node:2797066407","yes","0","100","modern facade and lots of glass to maximise exposure to the store. It is more a display cabinet than shop","2062","1598057438","post202007","0313824605617892"
"42","osm:node:3936561113","yes","0","100","Clean, uniform branding (OIIO)","79837","1598057476","post202007","0313824605617892"
"43","osm:node:2724317306","yes","0","100","too clean","2675316","1598060178","post202007","0313824605617892"
"44","osm:node:2721938752","no","100","0","font on logo / bikes in background","20631","1598060199","post202007","0313824605617892"
"45","osm:node:3246719937","yes","0","100","Looks like you need to buy stuff in there","26737","1598653125","post202007","3402622517643835"
"46","osm:node:2722209019","yes","0","100","its up for rent, the shop has closed","6270","1599547072","post202007","8658639393215372"
"47","osm:node:2830027551","no","100","0","its just a (seemingly small scale) clothing store","4159","1599547428","post202007","8658639393215372"
"48","osm:node:2724249675","yes","13","88","of of a thousand terrible bakeries for tourists","2288","1599547473","post202007","8658639393215372"
"49","osm:node:2737806525","no","100","0","looks small scale and personal","4173","1599547549","post202007","8658639393215372"
"50","osm:node:2300280776","no","100","0","Dunno what it is","11979","1599548216","post202007","3216764674523515"
"51","osm:node:2743482771","yes","13","88","The decorations on the window allude to storefronts of early 20th century, typical for gentrification aesthetics","6879","1599548972","post202007","2068180669662327"
"52","osm:node:3112803048","yes","0","100","The outdoor furniture is typical for well-off young white students and young white professionals. They try to have the same furntiture on their coveted roof terraces","4056","1599549060","post202007","2068180669662327"
"53","osm:node:6635658719","no","100","0","it\'s not a tourist oriented place, nor a \'hip\' place","3944","1599560083","post202007","1678445655038970"
"54","osm:node:2729943438","no","83","17","It\'s a chain","1723","1599566605","post202007","2657050472804374"
"55","osm:node:1222424080","no","100","0","It does not look cool","2106","1599566620","post202007","2657050472804374"
"56","osm:node:251187545","no","100","0","It has been there for ages and isn\'t what I would define \'hipster\'","6214","1599594987","post202007","7015393856576274"
"57","osm:node:4926201921","no","100","0","It seems from the outsidr it pays respect to historical perspective ","9042","1599595169","post202007","7015393856576274"
"58","osm:node:4320585689","no","80","20","vintage is for all people of sociaty","3300","1599595197","post202007","7015393856576274"
"59","osm:node:2829431176","no","100","0","Not sure ","3699","1599595258","post202007","7015393856576274"
"60","osm:node:2816539133","yes","0","100","not sure","7194","1599595278","post202007","7015393856576274"
"61","osm:node:4862660322","yes","0","100","not sure","3442","1599595290","post202007","7015393856576274"
"62","osm:node:4866292204","yes","0","100","Doesn\'t look like it suits the needs of the locals","3532","1599595324","post202007","7015393856576274"
